team_id,team_name,short_name,years,total_games,total_wins,total_losses,win_loss_percentage,champions,other_names,link,active
1,Atlanta Hawks,ATL,71,5609,2762,2847,.492,1,"['Atlanta Hawks', 'St. Louis Hawks', 'Milwaukee Hawks', 'Tri-Cities Blackhawks']",/teams/ATL/,True
2,Boston Celtics,BOS,74,5778,3416,2362,.591,17,['Boston Celtics'],/teams/BOS/,True
3,Brooklyn Nets,NJN,53,4276,1849,2427,.432,2,"['Brooklyn Nets', 'New Jersey Nets', 'New York Nets', 'New York Nets', 'New Jersey Americans']",/teams/NJN/,True
4,Charlotte Hornets,CHA,30,2385,1046,1339,.439,0,"['Charlotte Hornets', 'Charlotte Bobcats', 'Charlotte Hornets']",/teams/CHA/,True
5,Chicago Bulls,CHI,54,4353,2224,2129,.511,6,['Chicago Bulls'],/teams/CHI/,True
6,Cleveland Cavaliers,CLE,50,4024,1862,2162,.463,1,['Cleveland Cavaliers'],/teams/CLE/,True
7,Dallas Mavericks,DAL,40,3205,1605,1600,.501,1,['Dallas Mavericks'],/teams/DAL/,True
8,Denver Nuggets,DEN,53,4277,2154,2123,.504,0,"['Denver Nuggets', 'Denver Nuggets', 'Denver Rockets']",/teams/DEN/,True
9,Detroit Pistons,DET,72,5672,2752,2920,.485,3,"['Detroit Pistons', 'Fort Wayne Pistons']",/teams/DET/,True
10,Golden State Warriors,GSW,74,5776,2784,2992,.482,6,"['Golden State Warriors', 'San Francisco Warriors', 'Philadelphia Warriors']",/teams/GSW/,True
11,Houston Rockets,HOU,53,4271,2260,2011,.529,2,"['Houston Rockets', 'San Diego Rockets']",/teams/HOU/,True
12,Indiana Pacers,IND,53,4276,2203,2073,.515,3,"['Indiana Pacers', 'Indiana Pacers']",/teams/IND/,True
13,Los Angeles Clippers,LAC,50,4025,1647,2378,.409,0,"['Los Angeles Clippers', 'San Diego Clippers', 'Buffalo Braves']",/teams/LAC/,True
14,Los Angeles Lakers,LAL,72,5668,3374,2294,.595,16,"['Los Angeles Lakers', 'Minneapolis Lakers']",/teams/LAL/,True
15,Memphis Grizzlies,MEM,25,1975,820,1155,.415,0,"['Memphis Grizzlies', 'Vancouver Grizzlies']",/teams/MEM/,True
16,Miami Heat,MIA,32,2549,1329,1220,.521,3,['Miami Heat'],/teams/MIA/,True
17,Milwaukee Bucks,MIL,52,4189,2176,2013,.519,1,['Milwaukee Bucks'],/teams/MIL/,True
18,Minnesota Timberwolves,MIN,31,2465,977,1488,.396,0,['Minnesota Timberwolves'],/teams/MIN/,True
19,New Orleans Pelicans,NOH,18,1433,666,767,.465,0,"['New Orleans Pelicans', 'NO/Ok. City Hornets', 'New Orleans Hornets']",/teams/NOH/,True
20,New York Knicks,NYK,74,5776,2795,2981,.484,2,['New York Knicks'],/teams/NYK/,True
